id,herb_hindi,synonyms,herb_english,botanical_name,varga_category,classical_properties,raw_karma_sanskrit,english_symptoms,hindi_symptoms,blocking_issues,warnings
BPN_1067,अथ दुग्धपानार्हजनानाह,,,"विरेकवान्तिबस्तीनां सेव्यमोजोविवर्धनम् |

जीर्णज्वरे मनोरोगे शोषमूर्च्छाभ्रमेषु च ||३||

ग्रहण्यां पाण्डुरोगे च दाहे तृषि हृदामये |

शूलोदावर्तगुल्मेषु वस्तिरोगे गुदाङ्कुरे ||४||

रक्तपित्तेऽतिसारे च योनिरोगे श्रमे क्लमे |

गर्भस्रावे च सततं हितं मुनिवरैः स्मृतम् ||५||

बालवृद्धक्षतक्षीणाः क्षुद्व्यवायकृशाश्च ये |

तेभ्यः सदाऽतिशयितं हितमेतदुदाहृतम् ||६||",दुग्धवर्गः,,"विरेक-वान्ति-वस्तीनां सेव्यम् -ओजोविवर्द्धन, जीर्णज्वर-मनोरोग-शोष-मूर्च्छा-भ्रम-ग्रहणी-पाण्डुरोग-दाह-तृष-हृदामय-शूल-उदावर्त-गुल्म-वस्तिरोग-गुदाङ्कुर-रक्तपित्त-अतिसार-योनिरोग-श्रम-क्लम-गर्भस्राव सततहित, बाल-वृद्ध-क्षतक्षीण-क्षुद्व्यवायकृशेभ्यः हित",,,COMMENTARY_AS_HEADWORD|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1068,अथ गोदुग्धस्य गुणानाह,,,"गव्यं दुग्धं विशेषेण मधुरं रसपाकयोः |

शीतलं स्तन्यकृत्स्निग्धं वातपित्तास्रनाशनम् ||७||

दोषधातुमलस्रोतः किञ्चित्क्लेदकरं गुरु |

जरासमस्तरोगाणां शान्तिकृत्सेविनां सदा ||८||",दुग्धवर्गः,"Rasa: मधुर | Guna: शीतल, स्निग्ध, गुरु | Virya: मधुर","दोष-धातु-मल-स्रोत किञ्चित् क्लेदकर, स्तन्यकृत्, वात-पित्ता-अस्रनाशन, जरा-समस्तरोगशान्तिकृत्",,,COMMENTARY_AS_HEADWORD|MULTI_ENTITY_OR_GROUP_HEADWORD,UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1069,कृष्णादीनां गवां दुग्धगुणाः,,,"कृष्णाया गोर्भवेद् दुग्धं वातहारि गुणाधिकम् |

पीताया हरते पित्तं तथा वातहरं भवेत् |

श्लेष्मलं गुरु शुक्लाया रक्तचित्रा च वातहृत् ||९||",दुग्धवर्गः,,"कृष्णा गौः - वातहारि, गुणाधिक ; पीता गौः - पित्तहर, वातहर ; शुक्ला गौः - श्लेष्मल, गुरु ; रक्त-चित्रा गौः - वातहत्",,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1070,सद्यः प्रसूतायाः विवत्सायाः गोर्दुग्धम्,,,"बालवत्सविवत्सानां गवां दुग्धं त्रिदोषकृत् |

बष्कयिण्यास्त्रिदोषघ्नं तर्पणं बलकृत्पयः |

जाङ्गलानूपशैलेषु चरन्तीनां यथोत्तरम् |

पयो गुरुतरं स्नेहो यथाहारं प्रवर्तते ||१०||",दुग्धवर्गः,,त्रिदोषकृत्,,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1071,बष्कयिण्याः गोदुग्धम्,,,"बालवत्सविवत्सानां गवां दुग्धं त्रिदोषकृत् |

बष्कयिण्यास्त्रिदोषघ्नं तर्पणं बलकृत्पयः |

जाङ्गलानूपशैलेषु चरन्तीनां यथोत्तरम् |

पयो गुरुतरं स्नेहो यथाहारं प्रवर्तते ||१०||",दुग्धवर्गः,,"त्रिदोषघ्न, तर्पण, बलकृत्",,,MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1072,देशविशेषेण गोदुग्धम्,,,"बालवत्सविवत्सानां गवां दुग्धं त्रिदोषकृत् |

बष्कयिण्यास्त्रिदोषघ्नं तर्पणं बलकृत्पयः |

जाङ्गलानूपशैलेषु चरन्तीनां यथोत्तरम् |

पयो गुरुतरं स्नेहो यथाहारं प्रवर्तते ||१०||",दुग्धवर्गः,,"जाङ्गल-अनूप-शैलचरन्तीनां गुरुतर, स्नेह",,,MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1073,आहारविशेषेण गोदुग्धम्,,,"स्वल्पान्नभक्षणाज्जातं क्षीरं गुरु कफप्रदम् |

तत्तु बल्यं परं वृष्यं स्वस्थानां गुणदायकम् |

पलालतृणकार्पासबीजजं गुणैर्हितम् ||११||",दुग्धवर्गः,Rasa: गुरु,"स्वल्पान्नभक्षनात् जातं -  कफप्रद – बल्य, पर, वृष्य, स्वस्थानां गुणदायक रोगिणे हितं – पलाल-तृण-कार्पास-बीजजं हित",,,MULTI_ENTITY_OR_GROUP_HEADWORD,UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1085,पीयूष-किलाट-क्षीरशाक-तक्रपिण्ड-मोरटानाम्,,,"क्षीरं तत्कालसूताया घनं पीयूषमुच्यते |

नष्टदुग्धस्य पक्वस्य पिण्डः प्रोक्तः किलाटकः ||२६||

अपक्वमेव यन्नष्टं क्षीरशाकं हि तत्पयः |

दध्ना तक्रेण वा नष्टं दुग्धं बद्धं सुवाससा ||२७||

द्रवभावेन सहितं तक्रपिण्डः स उच्यते |

नष्टदुग्धं भवेन्नीरं मोरटं जेज्जटोऽब्रवीत् ||२८||

पीयूषञ्च किलाटश्च क्षीरशाकं तथैव च |

तक्रपिण्ड इमे वृष्या बृंहणा बलवर्धनाः ||२९||

गुरवः श्लेष्मला हृद्या वातपित्तविनाशनाः |

दीप्ताग्नीनां विनिद्राणां विद्रधौ चाभिपूजिताः ||३०||

मुखशोषतृषादाहरक्तपित्तज्वरप्रणुत् |

लघुर्बलकरो रुच्यो मोरटः स्यात्सितायुतः ||३१||",दुग्धवर्गः,"Guna: गुरु, लघु,","वृष्य, बृंहण, बलवर्द्धन, श्लेष्मल, हृद्य, वात-पित्तविनाशन, दीप्ताग्नि-विनिद्रा-विद्रधिजनेभ्यः अत्युत्तम, मुखशोष-तृषा -दाह-रक्त-पित्त-ज्वरप्रणुत्, बलकर, रुच्य",,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1087,खण्डादियुक्तस्य दुग्धम्,,,"खण्डेन सहितं दुग्धं कफकृत्पवनापहम् |

सितासितोपलायुक्तं शुक्रलं त्रिमलापहम् |

सगुडं मूत्रकृच्छ्रघ्नं पित्तश्लेष्मकरं परम् ||३३||",दुग्धवर्गः,,"खण्डेन सहितम् - कफकृत्, पवनापह ; सितासितोपलायुक्तम् - शुक्रल, त्रिमलापह ; सगुडम्  - मूत्रकृच्छ्रघ्न, पित्तश्लेष्मकर",,,MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1088,प्रभातादिभवस्य दुग्धम्,,,"रात्रौ चन्द्रगुणाधिक्याद्व्यायामाकरणात्तथा |	
	
प्राभातिकं तदा प्रायः प्रादोषाद् गुरु शीतलम् ||३४||	
	
दिवाकरकराघाताद्व्यायामानिलसेवनात् |	
	
प्राभातिकात्तु प्रादोषं लघु वातकफापहम् ||३५||",दुग्धवर्गः,"Guna: लघु, गुरु | Virya: शीतल",वातकफापह,,,MULTI_ENTITY_OR_GROUP_HEADWORD,UNVERIFIED_LEGACY_BOTANICAL_NAME
