herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
चोबचीनि,हरीतक्यादिवर्गः,द्वीपान्तरवचा,Guna: त्तिक्त | Virya: उष्ण,"वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0049
हपुषा,हरीतक्यादिवर्गः,"हपुषा, हबुषा, विस्रा","Rasa: तिक्त, तुवर | Guna: मृदु, गुरु | Virya: उष्ण","दीपनी, पित्त -उदर-समीर-आर्शो-ग्रहणी-गुल्म-शूलहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0051
विडङ्गः,हरीतक्यादिवर्गः,"कृमिघ्न, जन्तुनाशन, तण्डुल, वेल्ल, अमोघा, चित्रतण्डुल","Rasa: कटु, तिक्त | Guna: रूक्ष, लघु | Virya: उष्ण","वह्निकर, शूल-अध्मान-उदर-श्लेष्म-कृमि-वात-विबन्धनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0053
नाडीहिङ्गु,हरीतक्यादिवर्गः,"नाडीहिङ्गु, पलाशाख्या, जन्तुका, रामठी, वंशपत्री, पिण्डाह्वा, सुवीर्य्या, हिङ्गुनाडिका",Rasa: कटु | Guna: तीक्ष्ण | Virya: उष्ण,"दीपक, कफ-वात-मल-स्तम्भ-मनो-मोह-आमनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0054
तुम्बुरु,हरीतक्यादिवर्गः,"तुम्बरु, सौरभ, सौर, वनज, सानुज, अन्धक","Rasa: तिक्त, कटु | Guna: रूक्ष, तीक्ष्ण, लघु | Virya: उष्ण | Vipaka: कटु","दीपन, रुच्य, विदाहि, वातश्लेष्म-अक्षि-कर्ण-ओष्ठ-शिरोरुक्-गुरुता-कृमि-कुष्ठ-शूल-अरुचि-श्वास-प्लीह-मूत्रकृच्छ्रनाशक",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0055
वंशलोचनः,हरीतक्यादिवर्गः,"वंशरोचना, वांशी, तुगाक्षीरी, तुगा, शुभा, त्वक्क्षीरी, वंशजा, शुभ्रा, वंशक्षीरी, वैणवी","Rasa: कषाय, स्वादु | Virya: शीतल","बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0056
समुद्रफेनः,हरीतक्यादिवर्गः,"समुद्रफेन, फेन, हिण्डीर, अब्धिकफ",Rasa: कषाय | Virya: शीतल,"चक्षुष्य, लेखन, विषपित्तघ्न, कर्णरुक् -क्कफहृत्सर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0057
जीवक,हरीतक्यादिवर्गः,"जीवक, मधुर, शृङ्ग, ह्रस्वाङ्ग, कूर्चशीर्षक",Rasa: मधुर | Virya: शीत,"बल्य, शुक्रकफप्रद, पित्त-दाह-अस्र-कार्श्य-वात-क्षयापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0060
मेदा,हरीतक्यादिवर्गः,"शल्यपर्णी, मणिच्छिद्रा, मेदा, मेदोभवा, अध्वरा",Rasa: स्वादु | Guna: गुरु | Virya: शीत,"वृष्य, स्तन्यकफावह, बृंहण, पित्त-रक्त-वात-ज्वरप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0063
काकोली,हरीतक्यादिवर्गः,"काकोली, वायसोली, वीरा, कायस्थिता",Rasa: मधुर | Guna: गुरु | Virya: शीत,"शुक्रवर्धक, बृंहण, वात-दाहा-अस्र-पित्त-शोष-ज्वरापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0066
ऋद्धिः,हरीतक्यादिवर्गः,,Rasa: मधुर | Guna: गुरु,"बल्या, त्रिदोषघ्नी, शुक्ला, प्राणैश्वर्यकरी, मूर्च्छा-रक्त-पित्त-विनाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0069
वृद्धिः,हरीतक्यादिवर्गः,,Rasa: मधुर | Virya: शीत,"गर्भप्रदा, बृंहणी, वृष्या, पित्तास्रशमनी, क्षतकासक्षयापहा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0070
यष्टीमधु,हरीतक्यादिवर्गः,"यष्टीमधु, यष्टीमधुक, क्लीतनक","Rasa: मधुर | Guna: गुरु, स्निग्ध | Virya: शीत","चक्षुष्या, बलवर्णकृत्, शुक्रला, केश्या, स्वर्या, पित्त-अनिल-अस्रजित्, व्रण-शोथ-विषच्छर्दि-तृष्णा-ग्लानि-क्षयापहा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0071
काम्पिल्लः,हरीतक्यादिवर्गः,"काम्पिल्ल, कर्कश, चन्द्र, रक्ताङ्ग, रोचन",Rasa: कटु | Virya: उष्ण,"कफ-पित्त-अस्र-कृमि-गुल्म-उदर-व्रणहर, रेची, मेह-आनाह-विषाश्मनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0072
आरग्वधः,हरीतक्यादिवर्गः,"आरग्वध, राजवृक्ष, शम्पाक, चतुरङ्गुल, आरवेत, व्याधिघात, कृतमाल, सुवर्णक, कर्णिकार, दीर्घफल, स्वर्णाङ्ग, स्वर्णफल",Rasa: मधुर | Guna: गुरु | Virya: शीत,"ज्वर-हृद्रोग-पित्त-अस्र-वातोदावर्त्त-शूलनुत्, रुच्य, कुष्ठ-पित्त-कफापह, कोष्ठशुद्धिकर, स्रंसन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0073
कटुका,हरीतक्यादिवर्गः,"कट्वी, कटुका, तिक्ता, कृष्णमेदा, कटम्भरा, अशोका, मत्स्यशकला, चक्राङ्गी, शकुलादनी, मत्स्यपित्ता, काण्डरुहा, रोहिणी, कटुरोहिणी","Rasa: तिक्त | Guna: रूक्ष, लघु | Virya: शीत | Vipaka: कटु","भेदिनी, दीपनी, हृद्या, कफ-पित्त-ज्वरापह, प्रमेह-श्वास-कासा-अस्र-दाह-कुष्ठ-क्रिमिप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0074
किरातकः,हरीतक्यादिवर्गः,"किराततिक्त, कैरात, कटुतिक्त, किरातक, काण्डतिक्त, अनार्यतिक्त, भूनिम्ब, रामसेनक","Rasa: तिक्त | Guna: रूक्ष, लघु, सारक | Virya: शीत","सन्निपात-ज्वर-श्वास-कफ-पित्त-अस्र-दाहनुत्, कास-शोथ-तृषा-कुष्ठ-ज्वर-व्रण-कृमिप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0075
इन्द्रयवः,हरीतक्यादिवर्गः,"कटुजबीज, यव, इन्द्रयव, कलिङ्ग, भद्रयव",Rasa: कटु | Virya: शीत,"त्रिदोषघ्न, संग्राहि, ज्वर-अतीसार-रक्ता-आर्शो-वमि-वीसर्प-कुष्ठनुत्, दीपन, गुदकीलास्र-वात-अस्रश्लेष्म-शूलजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0076
मदनः,हरीतक्यादिवर्गः,"मदन, छर्दन, पिण्ड, नट, पिण्डीतक, करहाट, मरुवक, शल्यक, विषपुष्पक","Rasa: मधुर, तिक्त | Guna: लघु | Virya: उष्ण","लेखन, वान्तिकृद् -विद्रधिहर, प्रतिश्यायव्रणान्तक, कुष्ठ-कफा-आनाह-शोथ-गुल्म-व्रणापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0077
रास्ना,हरीतक्यादिवर्गः,"रास्ना, युक्तरसा, रस्या, रसना, सुवहा, रसा, एलापर्णी, सुरसा, सुगन्धा, श्रेयसी,",Rasa: तिक्त | Guna: गुरु | Virya: उष्ण,"आमपाचिनी, कफवातजित्, शोथ-श्वास-समीरा-अस्र-वात-शूलो-उदरापह, कास-ज्वर-विषा-अशीति-वातिकामय-सिध्महृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0078
नाकुली,हरीतक्यादिवर्गः,"नाकुली, सुरसा, नागसुगन्धा, गन्धनाकुली, नकुलेष्टा, भुजङ्गाक्षी, सर्पाङ्गी, विषनाशिनी","Rasa: तुवर, तिक्त, कटु | Virya: उष्ण",भोगि-लूता-वृश्चिका-आखु-विष-ज्वर-कृमि-व्रणविनाशक,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0079
माचिका,हरीतक्यादिवर्गः,"माचिका, प्रस्थिका, अम्बष्ठा, अम्बालिका, अम्बिका, मयूरविदला, केशी, सहस्रा, बालमूलिका","Rasa: कषाय, आम्ल | Guna: लघु | Virya: शीत | Vipaka: कषाय",पक्वा-अतीसा-रपित्ता-अस्र-कफ-कण्ठामयापह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0080
