herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
बकुलः,पुष्पवर्गः,"मधुगन्ध, सिंहकेसरक","Rasa: तुवर, कटु | Guna: गुरु | Virya: शीत | Vipaka: कटु",कफ-पित्त-विष-श्वित्र-कृमि-दन्तगदापह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0385
बृहद्बकुलः,पुष्पवर्गः,"शिवमल्ली, पाशुपत, एकाष्ठील, वक, वसु","Rasa: कटु, तिक्त | Virya: शीत",दोषत्रया-अस्र-जित् योनि-शूल-तृषा-दाह-कुष्ठ-शोथा-अस्र-नाशन,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0386
कदम्बः,पुष्पवर्गः,"प्रियक, नीप, वृक्षपुष्प, हलिप्रिय","Rasa: मधुर, कषाय, लवण | Guna: गुरु, रूक्ष | Virya: शीत","सर, विष्टम्भकृत्, कफ-स्तन्या-अनिलप्रद",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0387
कुब्जकः,पुष्पवर्गः,"भद्रतरुणी, वृत्तपुष्प, अतिकेसर, महासहा, कण्टकाढ्या, नीलालिकुलसङ्कुला","Rasa: स्वादु, कषाय","सुरभि, सर, त्रिदोषशमन, वृष्य, शीतहर्ता",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0388
मल्लिका,पुष्पवर्गः,"मदयन्ती, शीतभीरु, भूपदी","Rasa: तिक्त, कटु | Guna: लघु | Virya: उष्ण","वृष्या, वात-पित्ता-आस्यद्रुग्व्याधि-कुष्ठा-अरुचि-विष-व्रणापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0389
माधवी,पुष्पवर्गः,"वासन्ती, पुण्ड्रक, मण्डक, अतिमुक्त, विमुक्त, कामुक, भ्रमरोत्सव",Rasa: मधुर | Guna: लघु | Virya: शीत,दोषत्रयापहा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0390
हेमकेतकी,पुष्पवर्गः,,Rasa: तिक्त | Virya: उष्ण,चक्षुष्या,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0393
किङ्किरातः,पुष्पवर्गः,"हेमगौर, पीतक, पीतभद्र","Rasa: तिक्त, कषाय | Virya: शीत",कफ-पित्त-पिपासाऽ-अस्र-दाह-शोष-वमि-क्रिमीहर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0394
कर्णिकारः,पुष्पवर्गः,"परिव्याध, पादपोत्पल","Rasa: कटु, तिक्त, तुवर | Guna: लघु","शोधन, रञ्जन, सुखद, शोथ-श्लेष्मा-अस्र-व्रण-कुष्ठजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0395
अशोकः,पुष्पवर्गः,"हेमपुष्प, वञ्जुल, ताम्रपल्लव, कङ्केलि, पिण्डपुष्प, गन्धपुष्प, नट","Rasa: तिक्त, कषाय | Virya: शीत","ग्राही, वर्ण्य, दोषा-अपची-तृषा-दाह-कृमि-शोष-विषा-अस्र-जित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0396
सैरेयकः,पुष्पवर्गः,"श्वेतपुष्पसैरेयक, सैरेय, कटसारिका, सहाचर, सहचर, भिन्दी, पीतपुष्पः - कुरण्टक, रक्तप्पुष्पः - कुरबक, नीलपुष्पः - बाणा, बाण, दासी, आतर्गल","Rasa: तिक्त, मधुर, अनम्ल | Guna: स्निग्ध | Virya: उष्ण","कुष्ठ-वाता-अस्र-कफ-कण्डू-विषापह, केशरञ्जन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0398
कुन्दम्,पुष्पवर्गः,"माध्य,सदापुष्प",Guna: लघु | Virya: शीत,श्लेष्म-शिरोरुग्-विष-पित्तहृत्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0399
मुचुकुन्दः,पुष्पवर्गः,"क्षत्रवृक्ष, चित्रक, प्रतिविष्णुक",,शिरः पीडा-पित्त-अस्र-विष-नाशन,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0400
तिलकः,पुष्पवर्गः,"क्षुरकः, श्रीमान्पुरुषः छिन्नपुष्पकः",Rasa: कटु | Virya: उष्ण | Vipaka: कटु,कफ-कुष्ठ-क्रिमी-वस्ति-मुखदन्तगदाहर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0401
बन्धुजीवः,पुष्पवर्गः,बन्धूकः माध्याह्निकः,Guna: लघु,"कफकृत्, ग्राही, वात-पित्तहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0402
जपापुष्पम्,पुष्पवर्गः,"औड्रपुष्प,",,"संग्राहिणी, केश्या,",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0403
त्रिसन्ध्या,पुष्पवर्गः,,,कफ-वातजित्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0404
सिन्दूरी,पुष्पवर्गः,"रक्तबीजा, रक्तपुष्पा, सुकोमला",Virya: शीत,विष-पित्ता-अस्र-तृष्णा-वान्तिहरी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0405
मुनिवृक्षः,पुष्पवर्गः,"अगस्त्य, अगस्ति, वङ्गसेन, मुनिद्रुम",Rasa: तिक्त | Guna: रुक्षः | Virya: शीत,"पित्त-कफ-च्चातुर्थिकहर, वातकर, प्रतिश्यायनिवारण",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0406
मरुबकः,पुष्पवर्गः,"मारुत, मरुबक, मरुत्, मरु, फणी, फणिज्जक, प्रस्थपुष्प, समीरण","Rasa: कटु | Guna: लघु, रूक्ष, तीक्ष्ण | Virya: उष्ण | Vipaka: कटु","मरुत् -अग्निप्रद, हृद्य, पित्तल, वृश्चिकादि-विष-श्लेष्म-वात-कुष्ठ-क्रिमि-प्रणुत्, सुगन्धिक",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0408
दमनकः,पुष्पवर्गः,"दमनक, दान्त, मुनिपुत्र, तपोधन, गन्धोत्कट, ब्रह्मजट, विनीत, कलपत्रक, दमन","Rasa: तुवर, तिक्त","हृद्य, वृष्य, सुगन्धिक, विष-कुष्ठा-अस्र-क्लेद-कण्डू-त्रिदोषजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0409
बर्बरी,पुष्पवर्गः,"तुवरी, तुङ्गी, खरपुष्पा, अजगन्धिका , कृष्णे- कठिल्लक, कुथेरक. शुक्ले - अर्जक. वटपत्र","Rasa: कटु, | Guna: लघु, तीक्ष्ण, रूक्ष | Virya: शीत","विदाहि, रुचिकर, हृद्य, दीपन, पित्तल, कफ-वाता-अस्र-कण्डू-कृमिविषापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0410
वटः,वटादिवर्गः,"वट, रक्तफल, शृङ्गी, न्यग्रोध, स्कन्धज, ध्रुव, क्षीरी, वैश्रवण, वास, बहुपाद, वनस्पति",Rasa: कषाय | Guna: गुरु | Virya: शीत,"ग्राही, कफ-पित्त-व्रणापह, वर्ण्य, विसर्पदाहघ्न, योनिदोषहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0411
पिप्पलः,वटादिवर्गः,"बोधिद्रु, पिप्पल, अश्वत्थ, चलपत्र, गजाशन","Rasa: तुवर | Guna: रूक्ष, गुरु | Virya: शीत","दुर्जर, पित्त-श्लेष्म-व्रणा-अस्रजित्, वर्ण्य, योनिविशोधन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0412
पिप्पलभेद,वटादिवर्गः,"पारीष, पलाश, कपिचूत, कमण्डलु, गर्दभाण्ड, कन्दराल, कपीतन, सुपार्श्वक","Rasa: अम्ल, मधुर, कषाय | Guna: स्निग्ध","दुर्जर, कृमि-शुक्र-कफ-प्रद, मज्जक",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0413
नन्दीवृक्षः,वटादिवर्गः,"नन्दीवृक्ष, अश्वत्थभेद, प्ररोही, गजपादप, स्थालीवृक्ष, क्षयतरु, क्षीरी, वनस्पति","Rasa: तिक्त, तुवर, | Guna: लघु, स्वादु | Virya: उष्ण | Vipaka: कटु","ग्राही, विष-पित्त-कफा-अस्रजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0414
ओदुम्बरः,वटादिवर्गः,"उदुम्बर, जन्तुफल, यज्ञाङ्ग, हेमदुग्धक","Rasa: मधुर, तुवर | Guna: रूक्ष, गुरु | Virya: शीत","पित्त-कफा-अस्रजित्, वर्ण्य, व्रणशोधनरोपण",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0415
काकोदुम्बरिका,वटादिवर्गः,"काकोदुम्बुरिका, फल्गु, मलयु, जघनेफला","Rasa: तिक्त,तुवर | Virya: शीत","मलस्तम्भकृत्, कफ-पित्त-व्रण-श्वित्र-कुष्ठ-पाण्डु-अर्श-कामलाजय",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0416
प्लक्षः,वटादिवर्गः,"प्लक्ष, जटी, पर्करी, पर्कटी",Rasa: कषाय | Virya: शीत,"व्रण-योनिगदापह, दाह-पित्त-कफा-अस्रघ्न , शोथहा, रक्त-पित्तहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0417
शिरीषः,वटादिवर्गः,"शिरीष, भण्डिल, भण्डी, भण्डीर, कपीतन, शुकपुष्प, शुकतरु, मृदुपुष्प, शुकप्रिय","Rasa: मधुर, तिक्त, तुवर | Guna: लघु | Virya: शीत","दोष-शोथ-विसर्पघ्न, कास-व्रण-विषापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0418
क्षीरिवृक्षा,वटादिवर्गः,,Rasa: कषाय | Guna: रूक्ष | Virya: शीत,"वर्ण्य, योनिरोग-व्रणापहा, मेदोघ्न, विसर्प-आमयनाशन, शोथ-पित्त-कफा-अस्रघ्न, स्तन्या, भग्नास्थियोजक",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0420
शालाः,वटादिवर्गः,"शाल, सर्ज, कार्श्य, अश्वकर्णक, शस्यशम्बर",Rasa: कषाय,व्रण-स्वेद-कफ-क्रिमी-ब्रध्न-विद्रधि-बाधिर्य-योनिकर्णगदाहर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0423
शालभेदः,वटादिवर्गः,"सर्जक, अजकर्ण, शाल, मरिचपत्रक","Rasa: कटु, तिक्त, कषाय | Virya: उष्ण",कफ-पाण्डु-श्रुतिगदा-मेह-कुष्ठ-विष-व्रण-व्यपोह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0424
शल्लकी,वटादिवर्गः,"शल्लकी, गजभक्ष्या, सुवहा, सुरभि, रसा, महेरुणा, कुन्दुरुकी, वल्लकी, बहुस्रवा",Rasa: तुवर | Virya: शीत,"पित्त-श्लेष्मा-अतिसारजित्, रक्त-पित्त-व्रण-हरी, पुष्टिकृत्समुदीरिता",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0425
शिंशिपा,वटादिवर्गः,"शिंशपा, पिच्छिला, श्यामा, कृष्णसारा, भस्मगर्भा","Rasa: कटु, तिक्त, कषाय | Virya: उष्ण","शोषहारिणी, मेद-कुष्ठ-श्वित्र-वमि-क्रिमी-हर, वस्तिरुग्-व्रण-दाहा-अस्र-बलासहर,  गर्भपातिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0426
ककुभः,वटादिवर्गः,"ककुभ, नदीसर्ज, इन्द्रदु, वीरवृक्ष, वीर, धवल, अर्जुन संज्ञावाचकशब्दाः (गाण्डीवी, पार्थ, धनञ्जय, कर्णारि)",Rasa: तुवर | Virya: शीत,"हृद्य, क्षतक्षय-विषा-अस्रजित्, मेदो-मेह-व्रण-कफ-पित्तहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0427
बीजकः,वटादिवर्गः,"बीजक, पीतसार, पीतशालक, बन्धूकपुष्प, प्रियक, सर्जक, असन",,"कुष्ठ-वीसर्प-श्वित्र-मेह-गुद-क्रिमी-हर, श्लेष्मा-अस्र-पित्तहर , त्वच्य, केश्य, रसायन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0428
खदिरः,वटादिवर्गः,"खादिर, रक्तसार, गायत्री, दन्तधावन, कण्टकी, बालपत्र, बहुशल्य, यज्ञिय","Rasa: तिक्त, कषाय | Virya: शीत","दन्त्य, कण्डू-कासा-अरुचि-प्रणुत्, मेदोघ्न, कृमि-मेह-ज्वर-व्रणापह, श्वित्र-शोथा-आम-पित्ता-अस्र-पाण्डु-कुष्ठ-कफहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0429
श्वेतखदिरः,वटादिवर्गः,"श्वेतखदिर, श्वेतसार, कदर, सोमवल्कल",Guna: विशद,"वर्ण्य, मुखरोग-कफा-अस्रजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0430
इरिमेदः,वटादिवर्गः,"इरिमेद, विट्खदिर, कालस्कन्ध, अरिमेदक",Rasa: कषाय | Virya: उष्ण,"मुखदन्त-गदा-अस्रजित्, कण्डू-विष-श्लेष्म-कृमि-कुष्ठ-विष-व्रणा-पह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0431
रोहीतकः,वटादिवर्गः,"रोहीतक, रोहितक, रोही, दाडिमपुष्पक",,"प्लीहघाती, रुच्य, रक्तप्रसादन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0432
बब्बूलः,वटादिवर्गः,"बब्बूल, किङ्किरात, किङ्किराट, सपीतक, आभाषट्पदमोदिनी",,"कफनुत्, ग्राही, कुष्ठ-क्रिमिविषापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0433
अरिष्टकः,वटादिवर्गः,"अरिष्टक, मङ्गल्य, कृष्णवर्ण, अर्थसाधन, रक्तबीज, पीतफेन, फेनिल, गर्भपातन",,"त्रिदोषघ्न, ग्रहजित्, गर्भपातन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0434
पुत्रजीवः,वटादिवर्गः,"पुत्रजीव, गर्भकर, यष्टीपुष्प, अर्थसाधक","Rasa: कटु, स्वादु | Guna: गुरु, रूक्ष | Virya: शीत","पटु, वृष्य, गर्भद, श्लेष्म-वातहृत्, सृष्टमूत्रमल",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0435
इङ्गुदः,वटादिवर्गः,"इङ्गुद, अङ्गारवृक्ष, तिक्तक, तापसद्रुम",Rasa: तिक्त | Virya: उष्ण | Vipaka: कटु,"कुष्ठ-भूतादिग्रह-व्रण-विष-क्रिमीहर, श्वित्रशूलघ्न",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0436
जिङ्गिनी,वटादिवर्गः,"जिङ्गिनि, झिङ्गिनि, झिङ्गी, सुनिर्यासा, प्रमोदिनी","Rasa: मधुर, कषाय, लवण, कटु | Virya: उष्ण","योनिशोधिनी, व्रण-हृद्रोग-वाता-अतीसारहृत्, पटु",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0437
तमालः,वटादिवर्गः,"तमाल, तापिच्छ, कालस्कन्ध, अमितद्रुम, लोकस्कन्ध, नीलध्वज, नीलताल",,दाहविस्फोटहृत्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0438
तूणी,वटादिवर्गः,"तूणी, तुन्नक, आपीन, तुणिक, कच्छक, कुठेरक, कान्तलक, नन्दीवृक्ष, नन्दक","Rasa: कषाय, मधुर, तिक्त | Guna: लघु | Virya: शीत | Vipaka: कटु","ग्राही, वृष्य, व्रण-कुष्ठा-अस्र-पित्तजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0439
भूर्जपत्रः,वटादिवर्गः,"भूर्जपत्र, भूर्ज, चर्मी, बहुलवल्कल",Rasa: कषाय,"भूतग्रह-श्लेष्म-कर्णरुक्-पित्त-रक्त-जित्, राक्षसघ्न, मेदोविषहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0440
पलाशः,वटादिवर्गः,"पलाश, किंशुक, पर्ण, यज्ञिय, रक्तपुष्पक, क्षारश्रेष्ठ, वातपोथ, ब्रह्मवृक्ष, समिद्वर","Rasa: कषाय, कटु, तिक्त | Guna: स्निग्ध | Virya: उष्ण","दीपन, वृष्य, सर, व्रण-गुल्मजित्, भग्नसंधानकृत्, दोष-ग्रहणि-अर्शः-क्रिमीहर, गुदजरोगजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0441
शाल्मलिः,वटादिवर्गः,"शाल्मली, मोचा, पिच्छिला, पूरणी, रक्तपुष्पा, स्थिरायु, कण्टकाढ्या, तूलिनी",Rasa: मधुर | Virya: शीतल | Vipaka: स्वादु,"रसायनी, श्लेष्मला, पित्त-वाता-अस्रहारिणी, रक्त-पित्तजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0444
मोचरसः,वटादिवर्गः,"शाल्मलिनिर्यास पिच्छा, शाल्मलीवेष्टक, मोचास्राव, मोचरस, मोचनिर्यास",Rasa: कषाय | Guna: स्निग्ध | Virya: शीत,"ग्राही, वृष्य, प्रवाहिका-अतिसारा-आम-कफ-पित्ता-अस्र-दाहनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0445
कूटशाल्मलिः,वटादिवर्गः,"कुत्सितशाल्मलि, रोचन, कूटशाल्मलिक","Rasa: तिक्त, कटु | Virya: उष्ण","कफ-वातनुत्, प्लीह-जठरयकृद्गुल्म-विषापह, भूतानाह-विबन्धा-अस्र-मेद-शूल-कफापह, भेदी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0446
धवः,वटादिवर्गः,"धट, नन्दितरु, स्थिर, गौर, धुरन्धर","Rasa: मधुर, तुवर | Virya: शीत",प्रमेह-आर्श-पाण्डु-पित्त-कफा-पह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0447
धन्वङ्गः,वटादिवर्गः,"धनुर्वृक्ष, गोत्रवृक्ष, सुतेजन","Rasa: तुवर | Guna: लघु, रूक्ष","कफ-पित्ता-अस्र-कास-हृत्, बृंहण, बलकृत्, सन्धिकृत्, व्रणरोपण",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0448
करीरः,वटादिवर्गः,"क्रकरीपत्र, ग्रन्थिल, मरुभूरुह","Rasa: कटु, तिक्त | Virya: उष्ण","स्वेदी, भेदन, दुर्नाम-कफ-वाता-आम-गरशोथ-व्रणप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0449
शाखोटः,वटादिवर्गः,"पीतफलक, भूतावास, खरच्छद",,रक्त-पित्ता-आर्श-वात-श्लेष्मा-अतिसारजित्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0450
वरुणः,वटादिवर्गः,"वरण, सेतु, तिक्तशाक, कुमारक","Rasa: कषाय, मधुर, तिक्त, कटु | Guna: रूक्ष, लघु | Virya: उष्ण","वरुण, पित्तल, भेदी-श्लेष्म-कृच्छ्रा-अश्म-मारुतहर, गुल्म-वाता-अस्र-कृमि-उष्ण-अग्निदीपन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0451
कटभी,वटादिवर्गः,"स्वादुपुष्प, मधुरेणु, कटंभर",Rasa: कटु | Guna: रूक्ष,"प्रमेहा-आर्शो-नाडी-व्रण-विष-क्रिमीहर, उष्णहन, कफ-कुष्ठघ्नी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0452
मोक्षः,वटादिवर्गः,"मोक्षक, गोलीढ, गोलिह, क्षारश्रेष्ठ, क्षारवृक्ष","Rasa: कटु, तिक्त | Virya: उष्ण","कफ-वात-हृत्, विष-मेदो-गुल्म-कण्डू-बस्ति-रुक्-कृमि-शुक्र-नुत्, ग्राही",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0454
जलशिरीषिका,वटादिवर्गः,"शिरीषिका, टिण्टिनिका, दुर्बला, अम्बुशिरीषिका, वारिशिरीषिका",,"त्रिदोष-विष-कुष्ठा-आर्शहरी, वारिशिरीषिका",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0455
शमी,वटादिवर्गः,"शक्तुफला, तुङ्गा, केशहन्त्री, शिवाफला, मङ्गल्या, लक्ष्मी, शमीर","Rasa: तिक्त, कटु, कषाय | Guna: लघु | Virya: शीत","रेचनी, कफ-कास-भ्रम-श्वास-कुष्ठा-आर्शः-कृमिजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0456
सप्तपर्णः,वटादिवर्गः,"विशालत्वक, शारद, विषमच्छद",Rasa: तुवर | Guna: स्निग्ध | Virya: उष्ण,"सर, व्रण-श्लेष्म-वात-कुष्ठा-आस्र-जन्तुजित्, दीपन, श्वास-गुल्मघ्न",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0457
तिनिशः,वटादिवर्गः,"स्यन्दन, नेमि, रथद्रु, वञ्जुल",Rasa: तुवर,"श्लेष्म-पित्ता-अस्र-मेदः-कुष्ठ-प्रमेहजित्, श्वित्रदाहघ्न, व्रण-पाण्डु-कृमि-प्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0458
भूमीसहः,वटादिवर्गः,"द्वारदरु, वरदारु, खरच्छद",Virya: शीत,रक्त-पित्त-प्रसादन,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0459
आम्रपुष्पम्,आम्रादिफलवर्गः,,Virya: शीत,"अतीसारक-कफ-पित्त-प्रमेह-नुत्, असृग्-दृष्टिहर, रुचिकृत्, ग्राहि, वातल",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0461
तरुणम्,आम्रादिफलवर्गः,,Rasa: अत्यम्ल | Guna: रूक्ष,दोषत्रया-अस्रकृत्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0464
शुष्काम्रफलम्,आम्रादिफलवर्गः,,"Rasa: स्वादु, कषाय, अम्ल","भेदन, कफ-वातजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0465
पक्वाम्रफलम्,आम्रादिफलवर्गः,,"Rasa: मधुर, कषाय | Guna: स्निग्ध, गुरु | Virya: शीत","वृष्य, बलसुखप्रद, वातहर, हृद्य, वर्ण्य, अपित्तल, वह्नि-श्लेश्म-शुक्र-विवर्द्धन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0466
वृक्षपक्वाम्रफलम्,आम्रादिफलवर्गः,,"Rasa: मधुर, अम्ल | Guna: गुरु","वातहर, किञ्चिद्-भवेत्-पित्तप्रकोपण",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0467
कृत्रिमपक्वचूषिताम्रफलम्,आम्रादिफलवर्गः,,Rasa: मधुर | Guna: लघु | Virya: शीतल,"पित्तनाशन, माधुर्य, चूषित, रुच्य, बल-वीर्यकर, शीघ्रपाकि, वात-पित्तहर, सर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0468
गालिताम्ररसः,आम्रादिफलवर्गः,,Guna: गुरु,"गालित, बल्य, वातहर, सर, अहृद्य, तर्पण, अतिबृंहण, कफवर्द्धन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0469
आम्रखण्डः,आम्रादिफलवर्गः,,Rasa: मधुर | Guna: गुरु | Virya: शीतल,"रोचन, चिरपाकि, बृंहण, बल्य, वातनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0470
दुग्धयुक्ताम्रः,आम्रादिफलवर्गः,,Guna: गुरु | Virya: शीतल,"वात-पित्तहर, रुच्य, बृंहण, बलवर्द्धन, वृष्य, वर्णकर, स्वादु, दुग्धाम्र",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0471
आम्रावर्त्तः,आम्रादिफलवर्गः,,Guna: लघु,"तृषा-च्छर्दि-वात-पित्त-हर, सर, रुच्य",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0474
आम्रबीजम्,आम्रादिफलवर्गः,,"Guna: कषाय, मधुर, इशदम्ल","छर्दि-अतीसारनाशन, ईषदम्ल, हृदयदाहनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0475
आम्रनवपल्लवः,आम्रादिफलवर्गः,,,"रुच्य, कफ-पित्त-विनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0476
आम्रातकः,आम्रादिफलवर्गः,"आम्रातक, पीतन, मर्कटाम्र, कपीतन, आम्रात",Rasa: अम्ल | Guna: गुरु | Virya: उष्ण,"वातघ्न, रुचिकृत्, सर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0477
राजाम्रः,आम्रादिफलवर्गः,"राजाम्र, टङ्क, आम्रात, कामाह्व, राजपुत्रक","Rasa: तुवर, स्वादु | Guna: विशद, गुरु, रूक्ष | Virya: शीतल","ग्राहि, विबन्ध-अध्म-वातकृत्-कफ-पित्तनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0479
कोशाम्रः,आम्रादिफलवर्गः,"कोशाम्र, क्षुदाम्र, कृमिवृक्ष, सुकोशक",,कुष्ठ-शोथा-अस्र-पित्त-व्रण-कफापह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0480
पनसः,आम्रादिफलवर्गः,"पनश, कण्टकिफल, पलस, अतिबृहत्फल","Rasa: स्वादु, तुवर, मधुर | Guna: गुरु, स्निग्ध | Virya: शीतल","पित्ता-अनिलापह, तर्पण, बृंहण, मांसल, श्लेष्मलंभृश, बल्य, शुक्रप्रद, रक्त-पित्त-क्षत-व्रणा-पह, विष्टम्भि, वातल, दाहकृत्, बल्य, कफ-मेदो-विवर्द्धन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0483
आमं,आम्रादिफलवर्गः,,"Rasa: मधुर, अम्ल | Guna: गुरु, उष्ण","विष्टम्भकृत्, दोषत्रितय-रक्तकृत्, शुक्रा-अग्निनाशन, नेत्रयोरहित",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0487
सुपक्वं,आम्रादिफलवर्गः,,"Rasa: मधुर, अम्ल","अनिल-पित्तहृत्, कफ-वह्निकर, रुच्य, वृष्य, विष्टम्भक",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0488
चिर्भिटम्,आम्रादिफलवर्गः,"चिर्भिट, धेनुदुग्ध, गोरक्षकर्कटी","Rasa: मधुर | Guna: रूक्ष, गुरु, उष्ण | Virya: शीत","पित्त-कफापह, ग्राहि, विष्टम्भि, पक्व, पित्तल",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0492
नारिकेलः,आम्रादिफलवर्गः,"नारिकेल, दृढफल, लाङ्गली, कूर्चशीर्षक, तुङ्ग, स्कन्धफल, तृणराज, सदाफल",Virya: शीत,"दुर्जर, वस्तिशोधन, विष्टम्भि, बृंहण, बल्य, वात-पित्ता-अस्र-दाह-नुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0493
